"p_value","log10FDR","distal_fold_change","proximal_fold_change","gene","Change"
"NM_000017",0.233191912190002,0.632286516315099,0.113911728165391,-0.113911728165391,"ACADS","No Change"
"NM_000018",0.431308946577252,0.365211533254849,-0.0188970314145069,0.0188970314145068,"ACADVL","No Change"
"NM_000019",0.510121512625144,0.292326361202418,0.0268757059913949,-0.0268757059913948,"ACAT1","No Change"
"NM_000021",0.0162432562258354,1.78932690494972,-0.234234033980964,0.234234033980964,"PSEN1","Upregulated in Normoxic"
"NM_000022",0.0791728127242594,1.10142392587087,-0.11841713930945,0.11841713930945,"ADA","No Change"
"NM_000024",0.70541098031649,0.151557784456243,0.0757111182008931,-0.0757111182008928,"ADRB2","No Change"
"NM_000027",0.568509035759156,0.245262628339209,0.0403055350926287,-0.0403055350926285,"AGA","No Change"
"NM_000029",0.850097357715307,0.0705313337006955,-0.0908685491579541,0.0908685491579542,"AGT","No Change"
"NM_000031",0.125781521822211,0.900383155075824,0.0793021202694006,-0.0793021202694007,"ALAD","No Change"
"NM_000033",0.676527700005479,0.169714416785138,0.0297321431302205,-0.0297321431302203,"ABCD1","No Change"
"NM_000034",0.869689286858801,0.0606358796859045,-0.00404683306270209,0.00404683306270203,"ALDOA","No Change"
"NM_000037",0.12695661977423,0.89634464920959,-0.300593953208486,0.300593953208486,"ANK1","No Change"
"NM_000039",0.687008246457491,0.163038049884425,0.147886984972818,-0.147886984972818,"APOA1","No Change"
"NM_000041",0.303943968950138,0.517206469741824,0.0994840463956231,-0.0994840463956229,"APOE","No Change"
"NM_000043",0.618294848860802,0.20880437168105,0.0541192348683662,-0.0541192348683661,"FAS","No Change"
"NM_000044",0.953578519550327,0.020643540474888,0.00808234629785853,-0.00808234629785858,"AR","No Change"
"NM_000045",0.553430928627704,0.25693657385967,-0.362570079384708,0.362570079384708,"ARG1","No Change"
"NM_000046",0.0677491504699438,1.1690961461883,-0.142753272698068,0.142753272698068,"ARSB","No Change"
"NM_000047",0.4639351930502,0.333542681657187,-0.251160305545502,0.251160305545502,"ARSE","No Change"
"NM_000051",0.515609015498472,0.287679497550195,-0.0359009515061074,0.0359009515061073,"ATM","No Change"
"NM_000052",0.278813621806107,0.554686012027725,-0.0835557432878377,0.0835557432878378,"ATP7A","No Change"
"NM_000055",0.696921662664746,0.156816035939931,0.102508989865002,-0.102508989865002,"BCHE","No Change"
"NM_000056",0.351089904119284,0.454581658852295,0.0740859960283842,-0.0740859960283843,"BCKDHB","No Change"
"NM_000057",0.410430950028913,0.386759897116612,-0.0828340942580431,0.0828340942580431,"BLM","No Change"
"NM_000059",0.545914579173408,0.262875307287711,-0.0308405172015836,0.0308405172015837,"BRCA2","No Change"
"NM_000060",0.917002360560359,0.0376295463615833,-0.00495601669409585,0.00495601669409593,"BTD","No Change"
"NM_000062",0.235792266764587,0.627470442483255,0.203234396127359,-0.203234396127359,"SERPING1","No Change"
"NM_000067",0.566370586012224,0.246899309457215,-0.137664585652952,0.137664585652952,"CA2","No Change"
"NM_000071",0.308183899350272,0.511190054150966,0.045018310081666,-0.0450183100816658,"CBS","No Change"
"NM_000075",0.121216145323808,0.916439530680878,0.0325026396873296,-0.0325026396873295,"CDK4","No Change"
"NM_000078",0.114573064683425,0.940917469927888,0.543205326185555,-0.543205326185555,"CETP","No Change"
"NM_000080",0.589041388159721,0.229854189053499,-0.144927366049243,0.144927366049243,"CHRNE","No Change"
"NM_000081",0.642505053946515,0.192123451821647,0.0287533734235626,-0.0287533734235624,"LYST","No Change"
"NM_000082",0.996579613768732,0.00148800108860401,-0.000269134417512171,0.000269134417512096,"ERCC8","No Change"
"NM_000086",0.820538195020847,0.0859011982785159,0.0116414064353961,-0.0116414064353961,"CLN3","No Change"
"NM_000087",0.109944724012889,0.958825606567546,-0.497622835141405,0.497622835141405,"CNGA1","No Change"
"NM_000088",0.989141424878788,0.00474160966327302,0.0024064977070952,-0.00240649770709527,"COL1A1","No Change"
"NM_000089",0.789168117741399,0.10283046848912,-0.079265897656419,0.079265897656419,"COL1A2","No Change"
"NM_000090",0.872666189710708,0.0591518498686356,0.0360832058540773,-0.0360832058540773,"COL3A1","No Change"
"NM_000091",0.418185716705105,0.378630804761031,-0.133634812181488,0.133634812181488,"COL4A3","No Change"
"NM_000092",0.129742878088971,0.886916472335384,-0.276562790678441,0.276562790678441,"COL4A4","No Change"
"NM_000093",0.436624146536618,0.359892250263085,0.102182929904342,-0.102182929904343,"COL5A1","No Change"
"NM_000094",0.658872708284849,0.18119848135331,0.0385328715366703,-0.0385328715366703,"COL7A1","No Change"
"NM_000096",0.795127303554046,0.0995633332241058,-0.0921208741283842,0.0921208741283841,"CP","No Change"
"NM_000097",0.222365566379973,0.652932462993576,-0.0707302293676743,0.0707302293676744,"CPOX","No Change"
"NM_000098",0.078784453958389,1.10355947065974,-0.0895371694881979,0.0895371694881981,"CPT2","No Change"
"NM_000099",0.405292942264188,0.392230958958543,0.0369798392261185,-0.0369798392261187,"CST3","No Change"
"NM_000100",0.840376250677542,0.0755262294043914,0.00930774222622787,-0.00930774222622805,"CSTB","No Change"
"NM_000101",0.271941066386382,0.565525203746495,-0.204586008888929,0.204586008888929,"CYBA","No Change"
"NM_000104",0.409250153640141,0.388011148873741,-0.0739194938406385,0.0739194938406385,"CYP1B1","No Change"
"NM_000107",0.863762089795245,0.0636058608974938,0.00784312132102903,-0.00784312132102909,"DDB2","No Change"
"NM_000108",0.595157829677379,0.225367848610089,-0.053893007995202,0.0538930079952019,"DLD","No Change"
"NM_000110",0.61747318793692,0.209381895693968,-0.0528867470416565,0.0528867470416566,"DPYD","No Change"
"NM_000112",0.284484219147885,0.545941819698009,-0.0415833842311665,0.0415833842311664,"SLC26A2","No Change"
"NM_000113",0.000432458537782718,3.36405552444276,-0.190526624679003,0.190526624679003,"TOR1A","Upregulated in Normoxic"
"NM_000117",0.290857057631703,0.536320393604254,0.0567005874796522,-0.0567005874796522,"EMD","No Change"
"NM_000118",0.119528746624868,0.922527634471708,0.135956117087502,-0.135956117087502,"ENG","No Change"
"NM_000122",0.429578240590871,0.366957725052088,-0.0252599524017383,0.0252599524017383,"ERCC3","No Change"
"NM_000124",0.153593268914595,0.813627816448403,-0.114923612255472,0.114923612255473,"ERCC6","No Change"
"NM_000126",0.210103324300965,0.677567076036961,-0.0342457979113044,0.0342457979113045,"ETFA","No Change"
"NM_000127",0.435564580870162,0.360947443328691,0.0309833020477863,-0.0309833020477862,"EXT1","No Change"
"NM_000132",0.0830264256366159,1.08078365844804,0.185042694913912,-0.185042694913912,"F8","No Change"
"NM_000135",0.0946966762139404,1.02366526415699,-0.207324973247506,0.207324973247506,"FANCA","No Change"
"NM_000137",0.611343552703883,0.213714663550639,0.0413069741569138,-0.0413069741569136,"FAH","No Change"
"NM_000138",0.968180381900763,0.0140437216523317,-0.00852407230653852,0.0085240723065385,"FBN1","No Change"
