Buffa,Winter,Ragnum
TCGA.95.A4VN.01A.11R.A262.07,14,-3, 8
TCGA.38.4628.01A.01R.1206.07,-10,-19,-10
TCGA.78.7163.01A.12R.2066.07,-14, -7,-16
TCGA.05.5425.01A.02R.1628.07,-14,-27, -6
TCGA.50.5931.01A.11R.1755.07,18,-3,14
TCGA.55.8207.01A.11R.2241.07,-40,-39,-22
TCGA.86.8278.01A.11R.2287.07,-30,-31,-14
TCGA.62.8394.01A.11R.2326.07,10,-3, 6
TCGA.73.4677.01A.01R.1206.07,-32,-27,-16
TCGA.80.5607.01A.31R.1949.07,-24,-33,-14
TCGA.95.7944.01A.11R.2187.07, -2, -5,-12
TCGA.78.8660.01A.11R.2403.07,10,19,12
TCGA.62.A46O.01A.11R.A24H.07,  4,-19, 10
TCGA.69.7761.01A.11R.2170.07,-26,-25, -8
TCGA.55.8206.01A.11R.2241.07,-42,-47,-26
TCGA.55.8204.01A.11R.2241.07,16,25,-2
TCGA.38.4631.01A.01R.1755.07,22, 9,14
TCGA.55.7910.01A.11R.2170.07,-14,-21,  2
TCGA.91.8497.01A.11R.2403.07,-40,-51,-20
TCGA.86.8671.01A.11R.2403.07,-40,-49,-22
TCGA.78.7146.01A.11R.2039.07,26,13,14
TCGA.55.8508.01A.11R.2403.07,-18,-19,-22
TCGA.97.7941.01A.11R.2187.07,-40,-43,-22
TCGA.55.8506.01A.11R.2403.07,-14, -7,-10
TCGA.44.7672.01A.11R.2066.07,-10,-15, -8
TCGA.78.7166.01A.12R.2066.07,8,7,4
TCGA.49.4488.01A.01R.1755.07, 8,11,-4
TCGA.50.5944.01A.11R.1755.07,-38,-43,-22
TCGA.MP.A4SY.01A.21R.A24X.07, 10, 11,-10
TCGA.86.8585.01A.11R.2403.07,10, 9, 8
TCGA.55.8511.01A.11R.2403.07,-14,-25,-10
TCGA.05.5429.01A.01R.1628.07,10,-3,-4
TCGA.50.5930.01A.11R.1755.07,-26,-23, -8
TCGA.55.8096.01A.11R.2241.07, -8,  1,-14
TCGA.73.A9RS.01A.11R.A41B.07, -8,-19,  2
TCGA.MP.A5C7.01A.11R.A262.07,-38,-35,-16
TCGA.44.6146.01A.11R.1755.07,-38,-43,-20
TCGA.91.6840.01A.11R.1949.07,-18,-19, -4
TCGA.78.7540.01A.11R.2066.07,-26,-31,-22
TCGA.05.5428.01A.01R.1628.07,12,17, 0
TCGA.78.7148.01A.11R.2039.07, -6,-15, -4
TCGA.49.4514.01A.21R.1858.07,  4,-11,  6
TCGA.MP.A4TI.01A.21R.A24X.07,10, 5, 2
TCGA.75.5146.01A.01R.1628.07,-26,-29,-12
TCGA.86.7701.01A.11R.2170.07, -8,-25,  2
TCGA.86.8056.01A.11R.2241.07,-38,-39,-20
TCGA.55.6712.01A.11R.1858.07,-2,-7,-8
TCGA.MP.A4TA.01A.21R.A24X.07, 2,-5,10
TCGA.86.7955.01A.11R.2187.07,10, 5, 6
TCGA.62.A46S.01A.11R.A24H.07,-34,-43,-24
TCGA.44.3398.01A.01R.1107.07,14,13,-2
TCGA.95.7567.01A.11R.2066.07,-26,-17, -6
TCGA.50.8459.01A.11R.2326.07,-24,-27,-16
TCGA.64.5774.01A.01R.1628.07, 2,-1,-4
TCGA.75.6203.01A.11R.1755.07,-38,-43,-18
TCGA.NJ.A4YF.01A.12R.A262.07,  8,-13,-18
TCGA.86.A4P7.01A.11R.A24X.07,-38,-49,-16
TCGA.55.8203.01A.11R.2241.07,-26,-27, -8
TCGA.J2.A4AE.01A.21R.A24H.07,-32,-39,-16
TCGA.J2.8194.01A.11R.2241.07,-24,-31,-14
TCGA.62.8397.01A.11R.2326.07,-20,-25,-14
TCGA.78.7150.01A.21R.2039.07,10, 7,16
TCGA.91.6828.01A.11R.1858.07,-32,-37,-14
TCGA.86.8074.01A.11R.2241.07,-4, 1, 0
TCGA.44.7659.01A.11R.2066.07,-38,-43,-26
TCGA.49.4501.01A.01R.1206.07, -4,-13,-18
TCGA.86.8668.01A.11R.2403.07,-28,-43,-18
TCGA.91.6829.01A.21R.1858.07,-28,-25, -6
TCGA.49.AARN.01A.21R.A41B.07,-34,-21,-18
TCGA.86.6851.01A.11R.1949.07,-38,-39,-16
TCGA.91.A4BD.01A.11R.A24H.07,-14,-19,-16
TCGA.75.7027.01A.11R.1949.07, 4,-5, 8
TCGA.05.4244.01A.01R.1107.07, -2, -3,-10
TCGA.50.5045.01A.01R.1628.07, 10, -3,-10
TCGA.44.2668.01A.01R.0946.07,30,23,20
TCGA.62.A46Y.01A.11R.A24H.07,-16,-17,-16
TCGA.80.5611.01A.01R.1628.07,10,-1,12
TCGA.95.A4VP.01A.21R.A262.07,-24,-35,-12
TCGA.86.8673.01A.11R.2403.07, 2,-9,-2
TCGA.38.4625.01A.01R.1206.07,14,13, 6
TCGA.44.2656.01A.02R.0946.07,  2,-11, -8
TCGA.55.A48Y.01A.11R.A24H.07,-14,-21,-18
TCGA.49.AAR3.01A.11R.A41B.07,2,5,4
TCGA.44.A4SU.01A.11R.A24X.07,-20,-11,-20
TCGA.99.8032.01A.11R.2241.07,-12,-23,-14
TCGA.55.A491.01A.11R.A24H.07,-14,-31,-10
TCGA.55.1592.01A.01R.0946.07,-30,-37,-14
TCGA.44.6774.01A.21R.1858.07,-30,-19,-16
TCGA.55.7283.01A.11R.2039.07,-38,-37,-22
TCGA.86.7953.01A.11R.2187.07,-14,-15,  4
TCGA.50.8460.01A.11R.2326.07,-26,-33,-20
TCGA.55.8097.01A.11R.2241.07,-36,-45,-22
TCGA.86.7713.01A.11R.2066.07,-20,-31, -6
TCGA.50.6594.01A.11R.1755.07,24, 3, 8
TCGA.86.8358.01A.11R.2326.07, -6,-19, 16
TCGA.55.A493.01A.11R.A24H.07,36,25,14
TCGA.35.3615.01A.01R.0946.07,-18,-15,-22
TCGA.67.4679.01B.01R.1755.07,-38,-49,-28
TCGA.49.4490.01A.21R.1858.07,-14, -9,-16
TCGA.05.4395.01A.01R.1206.07,32,29,-2
TCGA.93.A4JQ.01A.11R.A24X.07,-22,-23,-10
TCGA.69.7980.01A.11R.2187.07,-32,-23,-12
TCGA.73.4670.01A.01R.1206.07,30,33,10
