"p_value","log10FDR","distal_fold_change","proximal_fold_change","gene","Change"
"NM_000017",1.46866971097157e-22,21.8330758616847,-0.188297601289764,0.188297601289764,"ACADS","Upregulated in Normoxic"
"NM_000018",3.06859685376785e-10,9.51306016457718,0.0522437761537461,-0.052243776153746,"ACADVL","Upregulated in Hypoxia"
"NM_000019",0.661709870177593,0.179332387297323,0.00929049102166743,-0.00929049102166751,"ACAT1","No Change"
"NM_000021",1.32842207679893e-12,11.8766639155546,-0.251465842418009,0.251465842418009,"PSEN1","Upregulated in Normoxic"
"NM_000022",0.00883394749872379,2.05384518613743,-0.0625105248557475,0.0625105248557474,"ADA","Upregulated in Normoxic"
"NM_000027",0.449864680445797,0.346918102610439,-0.016421580457802,0.016421580457802,"AGA","No Change"
"NM_000033",0.0334966592912805,1.47499850411864,-0.0200292395262147,0.0200292395262146,"ABCD1","No Change"
"NM_000034",2.19188876468818e-50,49.6591814894705,0.145934512833545,-0.145934512833545,"ALDOA","Upregulated in Hypoxia"
"NM_000041",0.0593753501413499,1.22639381628905,-0.0506583737583478,0.0506583737583478,"APOE","No Change"
"NM_000043",6.07620445026501e-19,18.2163676215558,-0.223797144406448,0.223797144406448,"FAS","Upregulated in Normoxic"
"NM_000051",5.86701935363817e-10,9.23158247916659,-0.143463849441117,0.143463849441117,"ATM","Upregulated in Normoxic"
"NM_000062",7.21185263657286e-05,4.14195315601745,-0.0562006889093036,0.0562006889093037,"SERPING1","Upregulated in Normoxic"
"NM_000067",0.0397960400395727,1.40016014085406,-0.0947138912900147,0.0947138912900148,"CA2","Upregulated in Normoxic"
"NM_000071",1.36167943683432e-58,57.8659251209107,-0.198241586110247,0.198241586110247,"CBS","Upregulated in Normoxic"
"NM_000075",0.212682345728543,0.672268558385393,-0.011294109050015,0.011294109050015,"CDK4","No Change"
"NM_000086",0.00384648714397659,2.41493571475603,-0.0370150826927067,0.0370150826927069,"CLN3","No Change"
"NM_000088",5.91438815415097e-20,19.2280901766523,0.195610176760053,-0.195610176760054,"COL1A1","Upregulated in Hypoxia"
"NM_000089",1.02458090286178e-42,41.9894537431884,0.253485063959559,-0.253485063959559,"COL1A2","Upregulated in Hypoxia"
"NM_000090",3.22006459264524e-24,23.4921354165191,-0.170674164678445,0.170674164678445,"COL3A1","Upregulated in Normoxic"
"NM_000096",0.000801921404718445,3.09586819427159,-0.043625642795033,0.0436256427950332,"CP","No Change"
"NM_000097",4.94996199075329e-07,6.30539813586835,-0.0941576966428614,0.0941576966428613,"CPOX","Upregulated in Normoxic"
"NM_000098",0.0220643237664611,1.65630937839104,-0.0323576744492254,0.0323576744492252,"CPT2","No Change"
"NM_000099",2.9147139785029e-05,4.53540405622313,-0.0351875927352186,0.0351875927352187,"CST3","No Change"
"NM_000100",6.67890393093675e-07,6.17529480336325,-0.0997101473834964,0.0997101473834963,"CSTB","Upregulated in Normoxic"
"NM_000101",8.15441763260938e-07,6.08860704970346,-0.262576533261617,0.262576533261617,"CYBA","Upregulated in Normoxic"
"NM_000107",5.46896164733198e-07,6.26209512222977,-0.0693640598976886,0.0693640598976888,"DDB2","Upregulated in Normoxic"
"NM_000108",7.00785964156269e-15,14.1544146051141,-0.162843355089944,0.162843355089944,"DLD","Upregulated in Normoxic"
